2025-05-30 11:55:59,737 - INFO - MainProcess - Main process started. Server listening on 0.0.0.0:8889
2025-05-30 11:55:59,741 - INFO - MainProcess - Submitted 1 worker processes to the pool.
2025-05-30 11:55:59,754 - INFO - ForkProcess-1 - Worker process 13230 started and is ready to accept connections.
2025-05-30 11:58:27,538 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33516)
2025-05-30 11:58:29,924 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33516)
2025-05-30 11:58:29,924 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33518)
2025-05-30 11:58:32,354 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33518)
2025-05-30 11:58:32,354 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33532)
2025-05-30 11:58:34,636 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33532)
2025-05-30 11:58:34,637 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33540)
2025-05-30 11:58:36,993 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33540)
2025-05-30 11:58:36,994 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33552)
2025-05-30 11:58:39,367 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33552)
2025-05-30 11:58:39,367 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33554)
2025-05-30 11:58:39,402 - WARNING - ForkProcess-1 - Connection lost during UPLOAD of file_50mb.txt from ('172.16.16.102', 33554).
2025-05-30 11:58:39,427 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33556)
2025-05-30 11:58:39,429 - WARNING - ForkProcess-1 - Connection lost during UPLOAD of file_50mb.txt from ('172.16.16.102', 33556).
2025-05-30 11:58:39,430 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33558)
2025-05-30 11:58:39,432 - WARNING - ForkProcess-1 - Connection lost during UPLOAD of file_50mb.txt from ('172.16.16.102', 33558).
2025-05-30 11:58:39,432 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33566)
2025-05-30 11:58:39,435 - WARNING - ForkProcess-1 - Connection lost during UPLOAD of file_50mb.txt from ('172.16.16.102', 33566).
2025-05-30 11:58:39,436 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33576)
2025-05-30 11:58:39,438 - WARNING - ForkProcess-1 - Connection lost during UPLOAD of file_50mb.txt from ('172.16.16.102', 33576).
2025-05-30 11:58:39,439 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33578)
2025-05-30 11:58:39,442 - WARNING - ForkProcess-1 - Connection lost during UPLOAD of file_50mb.txt from ('172.16.16.102', 33578).
2025-05-30 11:58:39,442 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33590)
2025-05-30 11:58:41,762 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33590)
2025-05-30 11:58:41,763 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33596)
2025-05-30 11:58:41,800 - WARNING - ForkProcess-1 - Connection lost during UPLOAD of file_50mb.txt from ('172.16.16.102', 33596).
2025-05-30 11:58:41,802 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33600)
2025-05-30 11:58:41,804 - WARNING - ForkProcess-1 - Connection lost during UPLOAD of file_50mb.txt from ('172.16.16.102', 33600).
2025-05-30 11:58:41,805 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33602)
2025-05-30 11:58:41,808 - WARNING - ForkProcess-1 - Connection lost during UPLOAD of file_50mb.txt from ('172.16.16.102', 33602).
2025-05-30 11:58:41,809 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33612)
2025-05-30 11:58:41,811 - WARNING - ForkProcess-1 - Connection lost during UPLOAD of file_50mb.txt from ('172.16.16.102', 33612).
2025-05-30 11:58:41,812 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33614)
2025-05-30 11:58:41,814 - WARNING - ForkProcess-1 - Connection lost during UPLOAD of file_50mb.txt from ('172.16.16.102', 33614).
2025-05-30 11:58:41,815 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33622)
2025-05-30 11:58:41,817 - WARNING - ForkProcess-1 - Connection lost during UPLOAD of file_50mb.txt from ('172.16.16.102', 33622).
2025-05-30 11:58:41,818 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33630)
2025-05-30 11:58:41,820 - WARNING - ForkProcess-1 - Connection lost during UPLOAD of file_50mb.txt from ('172.16.16.102', 33630).
2025-05-30 11:58:41,821 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33634)
2025-05-30 11:58:41,823 - WARNING - ForkProcess-1 - Connection lost during UPLOAD of file_50mb.txt from ('172.16.16.102', 33634).
2025-05-30 11:58:41,824 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33648)
